tissue	dataset_type	species	control	case	direction	hallmarks
muscle	expression	mouse	Mouse-19.95-30	Mouse-350-400	up	CFD;SCN4B;SLC22A7;B3GALT1;MYH15;MT1M;PLIN4;CYP2B6;APOD;KYNU;SLC7A2;MYH1;UTY;HOXA13;CAPN11;APOA1;MIOX;MT-ATP8;LBP;SYCP3;CA1;FBP2;CCL13;ZG16B;CELSR3;SLC4A10;ICOS;FLG2;MOBP;ADCYAP1R1;TAT;APOA2;ATP6V1C2;C4BPB;NNMT;ACADL;ALB;SCD;AHSG;CPE;ABCA10;MT1F;CES1;GBP7;HYAL1;OVCH1;CYTL1;CYP2A7;ACSM1;ACSM5;SPP1;RBP4;IGF2;MAL;CLDN18;C1orf100;COL1A1;SLC6A11;FMO4;ITIH4;CYP2D6;VIPR2;PRG4;SLC7A10;ANKRD1;TMEM37;MSTN;AZGP1;GABRP;SLC17A3;IGFBP5;KDM5D;IL1RN;KRT15;HBD;LRP1B;AKR1C4;SAA4;MT-ND4L;CYP2E1;COBL;TF;TBATA;KRT79;SELL;ATP1A2;FBXL2;SHISA2;MYOM2;ACSM3;CHI3L1;ACTN3;LYPD2;FMO2;PLA2G2A;CYP17A1;S100P
muscle	expression	human	19.95-25.0	70.0-80.0	up	PLGLB1;MYH15;KRT15;HOXA13;CTXN3;AQP3;SLC7A2;LBP;SERPINB3;SPTA1;CFD;CXCL6;COL1A1;FABP3;ALDH1A1;MYOZ3;CPA3;HBD;DCLK1;MT-ND3;DSG3;MT-ATP8;MYH1;KLHL1;TMEM86A;ODF3L2;CACNG1;SELENOP;AKAP5;SLC17A7;CYTL1;ELAVL4;CXCL12;STMN3;FAM177A1;SYPL2;ADH7;FCER1A;EIF1AY;KDM5D;MT-ND2;SYT13;NLGN4Y;ACSM1;CYP2B6;FMO3;HINT3;AGBL1;RPS4Y1;GABRP;SLC7A4;FBP2;HS3ST1;CPED1;MOBP;CHGB;HBB;WLS;SNPH;WFDC12;MIOX;APOD;ART4;CEBPE;SUSD2;PHOSPHO1;PCSK9;SLC22A7;NAT8L;LYPD2;SCGB2B2;KYNU;CYP4F22;SYN2;UBL4B;CREB3L3;RPL3L;BBOX1;DSC3;SPOCK3;ASPG;CXCL14;KRT24;SLC9A3R1;LRRC71;MT-ND1;LRRC14B;HBA2;AHSP;MYL2;SULT4A1;HOXC6;KRT86;GNG13;SLC4A1;CA12;ITLN1
lung	methylation	mouse	Mouse-19.95-30	Mouse-350-400	up	SLC4A3;PCDH12;RSPH6A;PPBP;LOC100270710;ALAS2;CD33;PF4V1;CYP21A2;GOLGA6A;ELFN2;NRG4;TRAF1;LGALS12;TNMD;LRP1;NETO1;TAL1;MMP20;MAGEC2;CA1;PIK3CG;KCNA6;COX6A2;ALOX12;CHRNA4;EVC2;IL1RL2;CLDN15;PM20D1;LHCGR;TMPRSS13;FLJ44606;P3H2;LAIR2;CD200R1;SFRP1;C10orf95;GZMM;ROBO2;MAPK14;ANKMY1;CDK14;PNMA3;USH1C;OR4N3P;LCN10;FAM234B;PTN;SPN;KLF1;FGF18;ZNF366;NPTX2;GUCY2C;CD247;ITGB1;ASAP3;LOC100132724;MTNR1A;PIK3CD;ACSM1;HBD;FAM101A;BNC1;ECEL1P2;HBG2;MARC1;ROR1;HAUS2;HK3;PLEKHG7;CYP11A1;FCAR;CXCL12;PLCD4;SLN;EPB42;TNNI3;BPHL;PF4;BMPR1B;MEX3D;RSPO4;KLRG1;GDF6;GPR88;CA8;ANO2;GABRP;NOVA1;CCDC144NL;FBN2;CLPS;TAOK3;CLDN7;PPP1R14D;HCG9;PNLIP
lung	methylation	human	19.95-25.0	70.0-80.0	up	GUCY2C;KIF5C;ITGBL1;PROZ;IL2RG;CCL1;EIF5A;HCST;CA1;ALAS2;BIN2;PIK3CG;LOC100270710;LAPTM5;ASAP3;ADGRE1;SFRP4;SCT;GAL;CD33;PGD;GZMK;IL18;CD68;HRNR;C11orf90;C1S;PCDH12;ELOVL3;PTN;PRKCA;IL25;BTN3A3;PEG10;ASTL;SLA2;SERPINE2;ABHD4;AOAH;IL7R;EPHB4;ROBO2;DLK1;CCR8;CSRP2;CD247;CD101;STK25;KCNA6;UGT3A2;SH2D2A;REN;TENT5C;MT-CO1;ADH1B;HBG2;TXK;DAB2;HBD;DUSP26;BCAM;MYO7A;CYP1B1;EPYC;SLC45A2;KLRD1;BTN3A2;MFAP3L;KRT13;BEGAIN;LGALS12;SFRP2;YARS;PRR5;TBATA;MYH1;PAPD7;ITGB1;CTSW;CD96;PGAM1;CXCR3;NUGGC;ANKMY1;WISP2;PTPN7;CPOX;RAC2;PIK3CD;CRYBB1;TNFAIP8;SULT1E1;KRT86;EPB42;TAL1;GRAP2;GPRC5B;TMEM132A
lung	expression	mouse	Mouse-19.95-30	Mouse-350-400	up	C4BPB;B3GALT1;MFSD2A;MOBP;C3;ACSM1;SERPINA3;TM4SF19;SLC7A2;IL1RL1;KYNU;PIGR;SLC13A3;ABCC2;SLC6A11;FLG2;CALCRL;AKR1C4;CYP2B6;MT-CO1;NNMT;NAT8B;MSR1;SRPX;SGMS2;CXCL6;SOX7;ABCB1;SLCO4C1;GBP7;SLC22A7;IL20RB;TREML4;TSPAN7;SLC25A48;MGST1;ANKRD1;ENTPD2;PLEKHG1;ITLN1;PZP;CYP2C19;SLC5A9;APOD;ADTRP;CYP2A7;SCD;POTEJ;EDA2R;MMP8;BCO2;OVCH1;GRIA3;NPFFR1;LILRB5;ROBO4;FAM107A;CCL4L2;SCUBE3;FLT1;SCN4B;CFD;TAT;SEMA7A;ZBTB16;EGLN3;PDE6A;PTPRG;MIOX;CDC42EP1;ITIH4;ALPK2;TUFM;SELP;ADIRF;LRP1B;IFIT1B;TMEM163;SYTL2;DHRS2;LRRC32;CLDN18;EPAS1;TNR;TXK;SLC17A7;RASSF9;SLC30A10;GRIP2;CMKLR1;CD1A;SHISA2;IL23A;IL2RA;MLPH
lung	expression	human	19.95-25.0	70.0-80.0	up	SRPX;DAB2;C3;TNR;SERPINA3;LRP1B;ABCB1;SELENOP;ACSM1;MAF;CORO2B;SLC1A1;JAG1;ECI2;GPX3;MOBP;PTPRG;PRRT1;KDM5D;UTY;IGFBP5;OVCH1;MLPH;MT-CO1;SEMA6D;DSP;RGN;MAN1A1;NNMT;CFI;REPS2;SLC7A2;CD74;NRCAM;TPD52L1;ITGB8;PLEKHG1;IRF6;SLC13A3;SHISA2;CPS1;PTPRN2;ANXA1;LRRC32;SGMS2;TIAM1;PLXNB1;C4BPB;TBX3;EMB;PZP;MGAT3;COBL;NEO1;FAM107A;FABP3;QDPR;B3GALT1;TINAGL1;NTRK2;ATP1B2;SLC5A9;TGFBR3;GABRP;BRINP2;STEAP4;SUSD2;SCD;SNCA;NR2E1;PDZK1;PPP2R2B;FMO4;DEGS1;CFD;IFI16;SLC17A7;STBD1;POLR2A;HEY1;PGR;WLS;PIP4K2A;SCML1;LMCD1;PLGLB1;LOXL4;SYTL5;XPNPEP2;IGFBP2;NPAS3;DHCR24;TSPOAP1;CADM3;STC1;SYN2;OPHN1
heart	methylation	mouse	Mouse-19.95-30	Mouse-350-400	up	PCDHA12;BANF2;CD8A;GZMK;FAM101A;EIF5A;CD101;HBE1;IL2RB;CD3E;BTN3A2;IL2RG;BPHL;LOC100132724;NAPSB;PRDM9;OR4N3P;MIR1974;ITGB1;SLN;CORO2B;C6orf201;GOLGA6A;HSD3B2;MYOM2;SOX11;EN2;MYLK;HKR1;CHRNA4;GSDMB;GALR2;BCL2L14;CD3G;PM20D1;PLEKHG7;C14orf162;USH1C;ARSG;DAPL1;HAUS2;ACOT4;CNR2;RCN1;ABCB5;KLRD1;LDHC;LGR5;IGFBP5;GZMA;PRF1;NRG4;PRR23C;KIF5C;DDO;CATSPER4;ADH4;TAS2R43;ACTN2;AGBL4;MYO7A;FLJ44606;LMO7;PRKAG2;SIGLEC12;LOC401127;OR2L13;PF4;RPRM;CA8;RASGRP1;KCNJ9;MYF6;ADAMTS20;WBP2NL;LCK;ZNF137;HAGHL;LCN10;LOC144571;B3GALT1;ALDH1A3;RBP1;CASP2;CNN3;GPR37L1;FABP5L3;LOC390594;BATF3;APBA2;CCL5;CLDN15;ADAM12;B3GAT1;TULP2;CLDN25;SH2D2A;HBD;ATL1
heart	methylation	human	19.95-25.0	70.0-80.0	up	BANF2;PCDHA12;BTN3A2;IL2RG;CD101;FAM101A;GZMK;WBSCR26;CD8A;BPHL;NAPSB;EIF5A;GPR88;HBD;PF4;LOC100132724;ITGB1;IL2RB;CD48;MIR1974;SH2D2A;COL17A1;CYP4F3;HBE1;EVL;PM20D1;B3GALT1;KRTAP5-10;ACTN2;HLA-DPA1;CCL5;LDHC;GOLGA6A;NRG4;OR4N3P;TAL1;APBA2;PTGDR;BCL2L14;HAUS2;C18orf62;ACOT4;KLRD1;LOC100270710;SNORD94;ANGPTL4;IGFBP2;C2orf58;PNLIPRP2;KRT13;HS3ST1;PCK1;ADH4;C14orf162;NWD1;PSMB9;LOC157627;MYOM2;SYNE2;PPBP;MMP20;LECT2;BATF3;HLA-C;IGFBP5;MUC2;PNMT;HAGHL;RASGRP1;KCNJ9;MYLK;HSD3B2;AREG;BTN3A1;GH1;MMP1;LGALS3BP;KRTAP5-7;KLHL14;VPREB3;PSG5;TAS2R43;PCDHGA1;FAM187B;BTN3A3;CXCL10;TUBB2B;C1S;DPPA4;C6orf182;PSMA8;GSDMB;SOX11;ABCB1;ADAM28;SPG20;CEACAM5;GPT;GUCY2C
heart	expression	mouse	Mouse-19.95-30	Mouse-350-400	up	NPFFR1;LYVE1;ANKRD1;GRIA3;FABP7;GPT;LTF;MT1M;BTN3A2;GFAP;CXCL6;UTY;NMB;HLA-E;SLC17A7;CYP2B6;OLIG2;IGFBP5;RASGRP1;FOXQ1;ICOSLG;UCHL1;MYOM2;PLIN2;ZFY;ACSS3;MT3;PRG4;SPP1;TIMP4;SCG3;AKAP5;DCC;GOLGA6A;ANGPTL4;PCK1;VIPR2;SLC22A7;EMID1;ACSBG1;EN2;ROBO4;UGT2A3;CYP1A1;FBP2;BAMBI;SPTA1;APOD;CD1A;GPR17;ALPL;CYP17A1;MPZ;MYRIP;KCNC3;HLA-A;PPBP;ANGPT2;ACE;HOXA3;IL2RA;DSP;CP;IL18RAP;AHSG;SERPINA3;APOE;TMEM98;TSPAN7;AKR1C4;BAALC;NOVA1;DDO;AQP1;MSTN;APLNR;ADAMTS15;BCHE;VEGFA;CXCL3;ENTPD2;NPAS3;HBA2;S100B;TAT;ADCYAP1R1;POLR2A;APOA1;CCL22;KRT7;GAP43;DHRS2;LTB;HR;CFI;TFF3;CMKLR1
heart	expression	human	19.95-25.0	70.0-80.0	up	DAPL1;ACOD1;ANKRD1;BTN3A2;APOA1;LYVE1;LTF;CXCL6;LPA;NLGN4Y;FMO3;FABP7;NKAIN4;AHSG;S100G;CCNB1IP1;VIPR2;CYP4F2;APOA2;ITIH2;DHRS2;TRANK1;PTPRN;UGT2A3;HLA-E;SUSD2;PAPPA2;CYP2B6;PIGR;NCOA4;HS3ST1;PRRT1;ACSS3;MMP10;C17orf99;AGT;C9orf153;TMEM37;NPFFR1;GIMAP5;FGF14;FBLN5;UNC13C;HOXA13;MIA;CYP4F3;RPS4Y1;PTGDR;HLA-A;IKBKE;MYH15;SPTA1;FGFBP2;UTY;ICOSLG;ACSM3;SERPINA4;CYP2D6;RHBG;PPDPFL;BAIAP3;NDRG2;IBSP;HLA-DRB5;TMEM171;CLEC18B;APCS;UGT3A2;ABCC6;GNG3;CYP17A1;MPZ;FOXJ1;OR11G2;CSNK2B;ABCC3;NDRG4;FTCD;EDAR;RALYL;ALDH1A1;EGF;ITGAX;KRT24;TESPA1;ZFY;HOXA3;ADCYAP1R1;SCG3;MUC5AC;MT-ND6;HSD3B2;CLCA4;IL1RL1;STK32C;WLS;TNFRSF9;LBP;CD1A
